_id,filename,mimetype,selectedTypes,createdBy,limitations,path,pt,summary,wfst,timestamp,__v
66e422e8b215dc7c8bef8a16,Mankind_Pharma_Limited_Press_Release.docx_13-09-2024_17:02:50.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Normal PR,66e41fe7b215dc7c8bef6adf,Applicable criteria,Date of Press Release,Reports/Report_mankind pharma limited,3.1296257972717285,[object Object],2.547758102416992,2024-09-13T11:32:56.629Z,0
66e4202db215dc7c8bef6e6f,PR_Eduquity_Career_Technologies_Private_Limited.docx_13-09-2024_16:51:13.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Normal PR,66e41fe7b215dc7c8bef6adf,Applicable criteria,Date of Press Release,Reports/Report_eduquity career technologies private limited,2.0896689891815186,[object Object],2.275752067565918,2024-09-13T11:21:17.740Z,0
66e42003b215dc7c8bef6ae1,Mankind_Pharma_Limited_Press_Release.docx_13-09-2024_16:50:28.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Normal PR,66e41fe7b215dc7c8bef6adf,Applicable criteria,Date of Press Release,Reports/Report_mankind pharma limited,4.946293115615845,[object Object],2.041483163833618,2024-09-13T11:20:35.810Z,0
66e41a07b215dc7c8bef6a5d,Withdrawal_Press_Release_-_Dvara_KGFS_-_Argus_12_2022.docx_13-09-2024_16:25:00.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Securitisation - Withdrawal,66e40bbc0db7cd1d2c3461c0,Analytical Approach,Date of Press Release,Reports/Report_ dvara kshetriya gramin financial services private limited,1.5141620635986328,[object Object],1.376866102218628,2024-09-13T10:55:03.080Z,0
66e419f1b215dc7c8bef67ad,Withdrawal_Press_Release_-_Dvara_KGFS_-_Argus_12_2022.docx_13-09-2024_16:24:37.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Securitisation - Withdrawal,66e40bbc0db7cd1d2c3461c0,Analytical Approach,Date of Press Release,Reports/Report_ dvara kshetriya gramin financial services private limited,1.8924150466918945,[object Object],1.4223721027374268,2024-09-13T10:54:41.006Z,0
66e419ccb215dc7c8bef602a,Withdrawal_Press_Release_-_Krazybee_Service_Private_Limited_-_Robin_05_2024.docx_13-09-2024_16:24:00.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Securitisation - Withdrawal,66e40bbc0db7cd1d2c3461c0,Date of Press Release,Reports/Report_ krazybee services private limited,2.380185842514038,[object Object],1.57169771194458,2024-09-13T10:54:04.229Z,0
66e419aeb215dc7c8bef5b45,PR_Eduquity_Career_Technologies_Private_Limited.docx_13-09-2024_16:23:28.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Normal PR,66e40bbc0db7cd1d2c3461c0,Applicable criteria,Date of Press Release,Reports/Report_eduquity career technologies private limited,3.1642208099365234,[object Object],2.3342132568359375,2024-09-13T10:53:34.214Z,0
66e415900db7cd1d2c346215,Mankind_Pharma_Limited_Press_Release.docx_13-09-2024_16:05:52.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Normal PR,66e40bbc0db7cd1d2c3461c0,Applicable criteria,Date of Press Release,Reports/Report_mankind pharma limited,5.889422178268433,[object Object],2.0654351711273193,2024-09-13T10:36:00.158Z,0
66e413710db7cd1d2c346212,Press_Release_Ind_Barath_Thermotek_Private_Limited.docx_13-09-2024_15:56:52.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,INC - Review with INC,66e40bbc0db7cd1d2c3461c0,Applicable criteria,Date of Press Release,Reports/Report_ind barath thermotek private limited,2.685997247695923,[object Object],1.7958147525787354,2024-09-13T10:26:57.449Z,0
66e4132d0db7cd1d2c34620f,Draft_Press_Release_-_Chandi_Steel_Industries_Limited.docx_13-09-2024_15:55:46.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Withdrawal - No Dues,66e40bbc0db7cd1d2c3461c0,Applicable criteria,Date of Press Release,Reports/Report_annexure-2,1.7434020042419434,[object Object],1.2178480625152588,2024-09-13T10:25:49.223Z,0
66e4130a0db7cd1d2c34620c,Pondicherry_-Tindivanam_Tollway_Private_Limited_-_Draft_PR.docx_13-09-2024_15:55:08.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Withdrawal - No Dues,66e40bbc0db7cd1d2c3461c0,Applicable criteria,Date of Press Release,Reports/Report_annexure-2,4.0437541007995605,[object Object],1.3828990459442139,2024-09-13T10:25:14.161Z,0
66e411660db7cd1d2c346208,Initial_Rating_Press_Release_-_Save_Microfinance_Private_Limited_-_Aldea_MFI_2024.docx_13-09-2024_15:48:06.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Securitisation - Provisional,66e40bbc0db7cd1d2c3461c0,Date of Press Release,Reports/Report_ save microfinance private limited,4.902899980545044,[object Object],2.255581855773926,2024-09-13T10:18:14.193Z,0
66e410920db7cd1d2c3461fd,draft_Press_release_-_Madhur_knit_crafts_private_limited.docx_13-09-2024_15:44:38.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,INC - Review with INC,66e40bbc0db7cd1d2c3461c0,Applicable criteria,Contact us,Date of Press Release,Reports/Report_draft press release,2.404452085494995,[object Object],1.49196195602417,2024-09-13T10:14:42.145Z,0
66e40d670db7cd1d2c3461c2,Mankind_Pharma_Limited_Press_Release.docx_13-09-2024_15:31:03.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Normal PR,66e40bbc0db7cd1d2c3461c0,Applicable criteria,Date of Press Release,Reports/Report_mankind pharma limited,2.904041051864624,[object Object],4.797439813613892,2024-09-13T10:01:11.187Z,0
